query_id,query,service_id,intent,region,device,destination_id,reason
Q000167,укладка рулонного газона под ключ,S2,transactional,Yaroslavl,desktop,S2-CHILD-ROLL,expanded_representative[S2-CHILD-ROLL]
Q000168,устройство посевного газона под ключ,S2,transactional,Yaroslavl,desktop,S2-CHILD-SEED,expanded_representative[S2-CHILD-SEED]
Q000169,подготовка грунта под газон цена,S2,transactional,Yaroslavl,desktop,S2-CHILD-SOIL,expanded_representative[S2-CHILD-SOIL]
Q000170,восстановление газона услуги цена,S2,transactional,Yaroslavl,desktop,S2-CHILD-RESTORE,expanded_representative[S2-CHILD-RESTORE]
Q000171,услуга ухода за новым газоном,S2,transactional,Yaroslavl,desktop,S2-CHILD-INITIAL-CARE,expanded_representative[S2-CHILD-INITIAL-CARE]
Q000172,как укладывать рулонный газон,S2,informational,Yaroslavl,desktop,S2-ARTICLE-ROLL-DIY,expanded_representative[S2-ARTICLE-ROLL-DIY]
Q000173,устройство газона схема,S2,informational,Yaroslavl,desktop,S2-ARTICLE-SCHEME,expanded_representative[S2-ARTICLE-SCHEME]
Q000174,ошибки при подготовке участка под газон,S2,informational,Yaroslavl,desktop,S2-ARTICLE-PREP-ERRORS,expanded_representative[S2-ARTICLE-PREP-ERRORS]
Q000175,рулонный или посевной газон что лучше,S2,informational,Yaroslavl,desktop,S2-ARTICLE-COMPARE,expanded_representative[S2-ARTICLE-COMPARE]
Q000176,как восстановить газон,S2,informational,Yaroslavl,desktop,S2-ARTICLE-RESTORE,expanded_representative[S2-ARTICLE-RESTORE]
Q000177,уход за газоном после укладки и посева,S2,informational,Yaroslavl,desktop,S2-ARTICLE-AFTERCARE,expanded_representative[S2-ARTICLE-AFTERCARE]
Q000178,когда сеять и укладывать газон,S2,informational,Yaroslavl,desktop,S2-ARTICLE-SEASON,expanded_representative[S2-ARTICLE-SEASON]
Q000179,услуги посадки декоративных деревьев,S3,transactional,Yaroslavl,desktop,S3-CHILD-DECIDUOUS,expanded_representative[S3-CHILD-DECIDUOUS]
Q000180,услуги посадки плодовых деревьев,S3,transactional,Yaroslavl,desktop,S3-CHILD-FRUIT,expanded_representative[S3-CHILD-FRUIT]
Q000181,услуги посадки хвойных деревьев,S3,transactional,Yaroslavl,desktop,S3-CHILD-CONIFERS,expanded_representative[S3-CHILD-CONIFERS]
Q000182,посадка кустарников под ключ,S3,transactional,Yaroslavl,desktop,S3-CHILD-SHRUBS,expanded_representative[S3-CHILD-SHRUBS]
Q000183,посадка крупномеров цена,S3,transactional,Yaroslavl,desktop,S3-CHILD-LARGE,expanded_representative[S3-CHILD-LARGE]
Q000184,нормы посадки деревьев на участке,S3,informational,Yaroslavl,desktop,S3-ARTICLE-NORMS,expanded_representative[S3-ARTICLE-NORMS]
Q000185,схема посадки плодового сада,S3,informational,Yaroslavl,desktop,S3-ARTICLE-FRUIT-SCHEME,expanded_representative[S3-ARTICLE-FRUIT-SCHEME]
Q000186,когда сажать деревья и кустарники,S3,informational,Yaroslavl,desktop,S3-ARTICLE-WHEN,expanded_representative[S3-ARTICLE-WHEN]
Q000187,как подготовить посадочную яму для дерева,S3,informational,Yaroslavl,desktop,S3-ARTICLE-PIT,expanded_representative[S3-ARTICLE-PIT]
Q000188,уход за деревьями после посадки,S3,informational,Yaroslavl,desktop,S3-ARTICLE-AFTERCARE,expanded_representative[S3-ARTICLE-AFTERCARE]
Q000189,как сохранить саженцы до посадки,S3,informational,Yaroslavl,desktop,S3-ARTICLE-SEEDLINGS,expanded_representative[S3-ARTICLE-SEEDLINGS]
Q000190,ошибки при посадке хвойных деревьев,S3,informational,Yaroslavl,desktop,S3-ARTICLE-CONIFER-ERRORS,expanded_representative[S3-ARTICLE-CONIFER-ERRORS]
Q000191,заказать обрезку деревьев цена,S4,transactional,Yaroslavl,desktop,S4-CHILD-TREE-PRUNING,expanded_representative[S4-CHILD-TREE-PRUNING]
Q000192,стрижка кустарников и живой изгороди цена,S4,transactional,Yaroslavl,desktop,S4-CHILD-SHRUB-PRUNING,expanded_representative[S4-CHILD-SHRUB-PRUNING]
Q000193,комплексное обслуживание сада услуги,S4,transactional,Yaroslavl,desktop,S4-CHILD-MAINTENANCE,expanded_representative[S4-CHILD-MAINTENANCE]
Q000194,услуги по уходу за газоном цена,S4,transactional,Yaroslavl,desktop,S4-CHILD-LAWN-CARE,expanded_representative[S4-CHILD-LAWN-CARE]
Q000195,услуги по уходу за цветниками и клумбами,S4,transactional,Yaroslavl,desktop,S4-CHILD-FLOWERBEDS,expanded_representative[S4-CHILD-FLOWERBEDS]
Q000196,сезонный уход за садом услуги,S4,transactional,Yaroslavl,desktop,S4-CHILD-SEASONAL,expanded_representative[S4-CHILD-SEASONAL]
Q000197,календарь ухода за садом по месяцам,S4,informational,Yaroslavl,desktop,S4-ARTICLE-CALENDAR,expanded_representative[S4-ARTICLE-CALENDAR]
Q000198,схема обрезки плодовых деревьев,S4,informational,Yaroslavl,desktop,S4-ARTICLE-PRUNING,expanded_representative[S4-ARTICLE-PRUNING]
Q000199,весенний уход за садом после зимы,S4,informational,Yaroslavl,desktop,S4-ARTICLE-SPRING,expanded_representative[S4-ARTICLE-SPRING]
Q000200,подготовка сада к зиме осенью,S4,informational,Yaroslavl,desktop,S4-ARTICLE-AUTUMN,expanded_representative[S4-ARTICLE-AUTUMN]
Q000201,уход за гортензией в саду,S4,informational,Yaroslavl,desktop,S4-ARTICLE-HYDRANGEA,expanded_representative[S4-ARTICLE-HYDRANGEA]
Q000202,выравнивание участка цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-LEVEL,expanded_representative[S5-CHILD-LEVEL]
Q000203,вертикальная планировка участка цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-VERTICAL,expanded_representative[S5-CHILD-VERTICAL]
Q000204,планировка участка трактором цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-MACHINERY,expanded_representative[S5-CHILD-MACHINERY]
Q000205,отсыпка и подъем участка грунтом цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-FILL,expanded_representative[S5-CHILD-FILL]
Q000206,планировка и уплотнение грунта цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-SOIL,expanded_representative[S5-CHILD-SOIL]
Q000207,выравнивание участка под газон цена,S5,transactional,Yaroslavl,desktop,S5-CHILD-FOR-LAWN,expanded_representative[S5-CHILD-FOR-LAWN]
Q000208,схема планировки участка,S5,informational,Yaroslavl,desktop,S5-ARTICLE-SCHEME,expanded_representative[S5-ARTICLE-SCHEME]
Q000209,выравнивание участка своими руками,S5,informational,Yaroslavl,desktop,S5-ARTICLE-DIY,expanded_representative[S5-ARTICLE-DIY]
Q000210,чем отсыпать и поднять участок,S5,informational,Yaroslavl,desktop,S5-ARTICLE-FILL,expanded_representative[S5-ARTICLE-FILL]
Q000211,как определить уклоны и отметки участка,S5,informational,Yaroslavl,desktop,S5-ARTICLE-LEVELS,expanded_representative[S5-ARTICLE-LEVELS]
Q000212,как выровнять участок под газон,S5,informational,Yaroslavl,desktop,S5-ARTICLE-FOR-LAWN,expanded_representative[S5-ARTICLE-FOR-LAWN]
Q000213,строительство подпорной стенки на участке с уклоном,S6,transactional,Yaroslavl,desktop,S6-CHILD-SLOPE,expanded_representative[S6-CHILD-SLOPE]
Q000214,устройство бетонной подпорной стенки,S6,transactional,Yaroslavl,desktop,S6-CHILD-CONCRETE,expanded_representative[S6-CHILD-CONCRETE]
Q000215,устройство подпорной стенки из камня,S6,transactional,Yaroslavl,desktop,S6-CHILD-STONE,expanded_representative[S6-CHILD-STONE]
Q000216,устройство подпорной стенки из железобетонных блоков,S6,transactional,Yaroslavl,desktop,S6-CHILD-BLOCKS,expanded_representative[S6-CHILD-BLOCKS]
Q000217,строительство подпорной стенки из кирпича,S6,transactional,Yaroslavl,desktop,S6-CHILD-BRICK,expanded_representative[S6-CHILD-BRICK]
Q000218,подпорная стенка на участке своими руками,S6,informational,Yaroslavl,desktop,S6-ARTICLE-DIY,expanded_representative[S6-ARTICLE-DIY]
Q000219,виды подпорных стенок на участке,S6,informational,Yaroslavl,desktop,S6-ARTICLE-TYPES,expanded_representative[S6-ARTICLE-TYPES]
Q000220,как отвести воду от подпорной стенки,S6,informational,Yaroslavl,desktop,S6-ARTICLE-WATER,expanded_representative[S6-ARTICLE-WATER]
Q000221,как рассчитать высоту подпорной стенки,S6,informational,Yaroslavl,desktop,S6-ARTICLE-HEIGHT,expanded_representative[S6-ARTICLE-HEIGHT]
Q000222,почему подпорная стенка наклоняется,S6,informational,Yaroslavl,desktop,S6-ARTICLE-FAILURES,expanded_representative[S6-ARTICLE-FAILURES]
Q000223,проектирование освещения участка цена,S7,transactional,Yaroslavl,desktop,S7-CHILD-DESIGN,expanded_representative[S7-CHILD-DESIGN]
Q000224,монтаж уличного освещения участка цена,S7,transactional,Yaroslavl,desktop,S7-CHILD-INSTALL,expanded_representative[S7-CHILD-INSTALL]
Q000225,монтаж подсветки садовых дорожек,S7,transactional,Yaroslavl,desktop,S7-CHILD-PATHS,expanded_representative[S7-CHILD-PATHS]
Q000226,монтаж ландшафтного освещения участка,S7,transactional,Yaroslavl,desktop,S7-CHILD-LANDSCAPE,expanded_representative[S7-CHILD-LANDSCAPE]
Q000227,монтаж архитектурной подсветки частного дома,S7,transactional,Yaroslavl,desktop,S7-CHILD-ARCHITECTURAL,expanded_representative[S7-CHILD-ARCHITECTURAL]
Q000228,монтаж охранного освещения участка,S7,transactional,Yaroslavl,desktop,S7-CHILD-SECURITY,expanded_representative[S7-CHILD-SECURITY]
Q000229,как сделать освещение на участке,S7,informational,Yaroslavl,desktop,S7-ARTICLE-DIY,expanded_representative[S7-ARTICLE-DIY]
Q000230,виды освещения участка,S7,informational,Yaroslavl,desktop,S7-ARTICLE-TYPES,expanded_representative[S7-ARTICLE-TYPES]
Q000231,схема освещения участка,S7,informational,Yaroslavl,desktop,S7-ARTICLE-SCHEME,expanded_representative[S7-ARTICLE-SCHEME]
Q000232,как проложить кабель для освещения участка,S7,informational,Yaroslavl,desktop,S7-ARTICLE-CABLE,expanded_representative[S7-ARTICLE-CABLE]
Q000233,как выбрать светильники для садовых дорожек,S7,informational,Yaroslavl,desktop,S7-ARTICLE-FIXTURES,expanded_representative[S7-ARTICLE-FIXTURES]
Q000234,автоматизация освещения участка датчики,S7,informational,Yaroslavl,desktop,S7-ARTICLE-AUTOMATION,expanded_representative[S7-ARTICLE-AUTOMATION]
Q000235,установка водопропускной трубы в канаву для въезда,S8,transactional,Yaroslavl,desktop,S8-CHILD-PIPE,expanded_representative[S8-CHILD-PIPE]
Q000236,устройство основания въезда на участок цена,S8,transactional,Yaroslavl,desktop,S8-CHILD-BASE,expanded_representative[S8-CHILD-BASE]
Q000237,отсыпка въезда на участок щебнем цена,S8,transactional,Yaroslavl,desktop,S8-CHILD-GRAVEL,expanded_representative[S8-CHILD-GRAVEL]
Q000238,устройство бетонного въезда через канаву,S8,transactional,Yaroslavl,desktop,S8-CHILD-CONCRETE,expanded_representative[S8-CHILD-CONCRETE]
Q000239,устройство оголовков на въезд через канаву,S8,transactional,Yaroslavl,desktop,S8-CHILD-HEADWALLS,expanded_representative[S8-CHILD-HEADWALLS]
Q000240,установка дорожных плит на въезд через канаву,S8,transactional,Yaroslavl,desktop,S8-CHILD-SLABS,expanded_representative[S8-CHILD-SLABS]
Q000241,как сделать въезд на участок через канаву,S8,informational,Yaroslavl,desktop,S8-ARTICLE-DIY,expanded_representative[S8-ARTICLE-DIY]
Q000242,какую трубу выбрать для въезда через канаву,S8,informational,Yaroslavl,desktop,S8-ARTICLE-PIPE,expanded_representative[S8-ARTICLE-PIPE]
Q000243,какая должна быть ширина въезда на участок,S8,informational,Yaroslavl,desktop,S8-ARTICLE-WIDTH,expanded_representative[S8-ARTICLE-WIDTH]
Q000244,какой диаметр трубы нужен для въезда через канаву,S8,informational,Yaroslavl,desktop,S8-ARTICLE-DIAMETER,expanded_representative[S8-ARTICLE-DIAMETER]
Q000245,щебень бетон или плиты для въезда на участок,S8,informational,Yaroslavl,desktop,S8-ARTICLE-COMPARE,expanded_representative[S8-ARTICLE-COMPARE]
Q000246,как укрепить края канавы у въезда,S8,informational,Yaroslavl,desktop,S8-ARTICLE-BANKS,expanded_representative[S8-ARTICLE-BANKS]
