destination_id,service_id,target_url,page_type,source_cluster_ids,primary_query,secondary_queries,intent,title_intent,h1_intent,required_sections,price_factors,case_ids,photo_ids,internal_links,frozen_links,evidence_refs,evidence_state,missing_facts,status
S6-ARTICLE-DIY-RETAINING-WALL,S6,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,article,HOLD-70212404217F|HOLD-544177B45D38,подпорная стенка на участке своими руками,как построить подпорную стенку на участке|как сделать подпорную стенку на участке|подпорная стенка на участке своими руками дешево|как залить подпорную стенку из бетона,informational,подпорная стенка на участке своими руками — Эксперты,Подпорная стенка на участке своими руками,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,длина и высота|материал|основание|рельеф|условия отвода воды,,,https://exp76.ru/services/podpornye-stenki/,https://exp76.ru/category/drenazh-uchastka/,missing_representative_serp:HOLD-70212404217F,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S1-ARTICLE-72FBB49E67C8,S1,https://exp76.ru/kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka/,article,HOLD-72FBB49E67C8,как рассчитать инженерное благоустройство участка,как выполнить ландшафтное проектирование участка,informational,как рассчитать инженерное благоустройство участка — Эксперты,Как рассчитать инженерное благоустройство участка,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|состав проектных разделов|исходные данные|визуализация|авторское сопровождение,,,https://exp76.ru/services/landshaftnoe-proektirovanie/|https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/|https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/|https://exp76.ru/category/avtopoliv-na-uchastke/|https://exp76.ru/category/ukladka-trotuarnoy-plitki/,missing_representative_serp:HOLD-72FBB49E67C8,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S5-ARTICLE-74B3B2B18DA4,S5,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/,article,HOLD-74B3B2B18DA4,выравнивание участка своими руками,выравнивание участка под газон своими руками|как сделать выравнивание участка,informational,выравнивание участка своими руками — Эксперты,Выравнивание участка своими руками,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|перепад высот|объем перемещения грунта|техника|условия подъезда,,,https://exp76.ru/services/planirovka-territorii/|https://exp76.ru/shema-planirovki-uchastka/|https://exp76.ru/vyravnivanie-uchastka/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/osushenie-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/,missing_representative_serp:HOLD-74B3B2B18DA4,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S1-ARTICLE-DIY-DESIGN,S1,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,article,HOLD-9CF4ABC55090|HOLD-FD41CABAE854,дизайн проект участка своими руками,как самой сделать ландшафтный дизайн участка|как сделать ландшафтный дизайн участка|как спроектировать ландшафтный дизайн участка|как спроектировать ландшафтный дизайн участка самому|ландшафтный дизайн дачного участка своими руками|ландшафтный дизайн проект участка своими руками|ландшафтный дизайн пруда на участке своими руками|ландшафтный дизайн участка 6 своими руками|ландшафтный дизайн участка 6 соток своими руками|ландшафтный дизайн участка своими руками|ландшафтный дизайн участка своими руками фотогалерея|ландшафтный дизайн фото дачных участков своими руками|схема ландшафтного дизайна участка|схема ландшафтного дизайна участка 6 соток|схемы ландшафтного дизайна дачного участка|фото ландшафтного дизайна участка своими руками,informational,дизайн проект участка своими руками — Эксперты,Дизайн проект участка своими руками,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|состав проектных разделов|исходные данные|визуализация|авторское сопровождение,,,https://exp76.ru/services/landshaftnoe-proektirovanie/|https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/|https://exp76.ru/kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/|https://exp76.ru/category/avtopoliv-na-uchastke/|https://exp76.ru/category/ukladka-trotuarnoy-plitki/,missing_representative_serp:HOLD-9CF4ABC55090,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S3-ARTICLE-PLANTING-SCHEMES,S3,https://exp76.ru/normy-posadki-derevev/,article,HOLD-A31AAE5725CD|HOLD-1D9AC2530460|HOLD-AF75D8A25C90,нормы посадки деревьев,высадка или посадка деревьев как правильно писать|денежное дерево как взять отросток для посадки|инструкция по посадке живого плетеного дерева ива|инструкция посадки дерева|как выглядит малиновое дерево фото размножение посадка|как использовать фитоспорин м при посадке деревьев|как определить место для посадки дерева|как осуществляется посадка деревьев и кустарников|как подвязать саженцы деревьев при посадке|как подвязывать деревья при посадке|как подготовить кусок дерева для посадки орхидей|как поливать плодовые деревья после посадки|как поливать саженцы деревьев после посадки|как правильно подвязывать деревья после посадки|как распланировать посадку деревьев на участке|как распланировать посадку плодовых деревьев|как сохранить деревья до посадки|как сохранить саженцы плодовых деревьев до посадки|как укрепить насыпные холмики для посадки деревьев|как укрепить холм для посадки деревьев,informational,нормы посадки деревьев — Эксперты,Нормы посадки деревьев,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,вид и размер растений|подготовка посадочных мест|грунт|доставка|уход после посадки,,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/|https://exp76.ru/posadka-krupnomerov/,https://exp76.ru/category/avtopoliv-na-uchastke/,missing_representative_serp:HOLD-A31AAE5725CD,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S8-ARTICLE-DIY-ENTRANCE,S8,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,article,HOLD-BE8C4D20F9A4|HOLD-2F1C98E80F71|HOLD-5B52CBB329C4|HOLD-EB70299AA189,как сделать въезд на участок через канаву,въезд на участок через канаву своими руками|въезд через канаву своими руками|как обустроить въезд на участок через канаву|как правильно сделать въезд через канаву|делаем заезд на участок своими руками|заезд на участок своими руками|заезд на участок своими руками пошаговая|заезд на участок своими руками пошаговая инструкция|заезд на участок схема|как делать заезд на участок|как правильно делать заезд на участок|как правильно сделать заезд на участок|как сделать заезд на участок|как сделать заезд на участок для машины|как сделать заезд на участок с уклоном|как сделать заезд на участок своими руками|въезд на участок своими руками|въезд на участок через своими руками|как обустроить въезд на участок|как отсыпать въезд на участок,informational,как сделать въезд на участок через канаву — Эксперты,Как сделать въезд на участок через канаву,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,ширина въезда|глубина канавы|нагрузка|материалы|условия подъезда,,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/,missing_representative_serp:HOLD-BE8C4D20F9A4,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S7-ARTICLE-DIY-LIGHTING,S7,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,article,HOLD-EC53FCBA2C1F|HOLD-5A855707AEC1|HOLD-CA29C3BD9F29,как сделать освещение на участке,варианты освещения участка своими руками|как провести освещение на дачном участке|как сделать освещение на участке частного дома|освещение на дачном участке своими руками|освещение на участке своими руками|освещение участка загородного дома своими руками|схема освещения участка|подсветка участка своими руками|подсветка дорожек на участке своими руками|подсветка дорожек своими руками,informational,как сделать освещение на участке — Эксперты,Как сделать освещение на участке,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|количество зон|схема прокладки|оборудование|условия подключения,,,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,missing_representative_serp:HOLD-EC53FCBA2C1F,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S4-ARTICLE-F668FF6F6190,S4,https://exp76.ru/shema-uhoda-za-sadom/,article,HOLD-F668FF6F6190,схема ухода за садом,сад огород своими руками уход за викторией,informational,схема ухода за садом — Эксперты,Схема ухода за садом,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь сада|состав работ|состояние растений|сезонность|вывоз растительных остатков,,,https://exp76.ru/services/ukhod-za-sadom/|https://exp76.ru/obrezka-derevev-shema/|https://exp76.ru/obrezka-derevev-i-kustarnikov/,,missing_representative_serp:HOLD-F668FF6F6190,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S5-ARTICLE-FF3B04A53D72,S5,https://exp76.ru/shema-planirovki-uchastka/,article,HOLD-FF3B04A53D72,схема планировки участка,вертикальная планировка участка как делать|вертикальная планировка участка как делать пошагово|как делается планировка участка|как делают планировку участка|как обустроить участок 6 соток планировка|как обустроить участок 6 соток планировка фото|как правильно делать планировку участка|как правильно сделать планировку участка|как сделать вертикальную планировку участка|как сделать планировку участка|как сделать планировку участка мотоблоком|как сделать планировку участка своими руками|как сделать планировку участка трактором|как составить планировку участка|нормы планировки и застройки участков|нормы планировки и застройки участков для ижс|нормы планировки участка|планировка дачного участка 10 соток схемы|планировка дачного участка 5 соток схема|планировка дачного участка 5 соток схема варианты,informational,схема планировки участка — Эксперты,Схема планировки участка,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|перепад высот|объем перемещения грунта|техника|условия подъезда,,,https://exp76.ru/services/planirovka-territorii/|https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/|https://exp76.ru/vyravnivanie-uchastka/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/osushenie-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/,missing_representative_serp:HOLD-FF3B04A53D72,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S3-CHILD-KRUPNOMERY,S3,https://exp76.ru/posadka-krupnomerov/,child_service,SERP-09010110F02E,посадка крупномеров,посадка крупномеров переславль залесский|посадка крупномеров рыбинск|посадка крупномеров тутаев|посадка крупномеров углич|посадка плодовых крупномеров,commercial_research,посадка крупномеров — Эксперты,Посадка крупномеров,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,вид и размер растений|подготовка посадочных мест|грунт|доставка|уход после посадки,,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/|https://exp76.ru/normy-posadki-derevev/,https://exp76.ru/category/avtopoliv-na-uchastke/,Q000064,publication=blocked_facts;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S5-CHILD-VYRAVNIVANIE,S5,https://exp76.ru/vyravnivanie-uchastka/,child_service,SERP-13FD00FC92C7|HOLD-4E5B4B602503|SERP-3AF29E33EBAC|SERP-F560E613866F,выравнивание участка,благоустройство участка выравнивание|выравнивание дачного участка|выравнивание земельного участка|выравнивание и перекопка участка|выравнивание садового участка|выравнивание участка 10 соток|выравнивание участка газон|выравнивание участка глиной|выравнивание участка дом|выравнивание участка забор|выравнивание участка мини трактором|выравнивание участка московская область|выравнивание участка мотоблоком|выравнивание участка мульчером|выравнивание участка область|выравнивание участка отсыпкой|выравнивание участка переславль залесский|выравнивание участка песком|выравнивание участка по лазеру ярославль|выравнивание участка под газон,commercial_research|transactional,выравнивание участка — Эксперты,Выравнивание участка,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,площадь|перепад высот|объем перемещения грунта|техника|условия подъезда,,,https://exp76.ru/services/planirovka-territorii/|https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/|https://exp76.ru/shema-planirovki-uchastka/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/osushenie-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/,Q000081|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/planirovka-territorii.json#intro+services.items[Выравнивание],publication=blocked_facts;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S2-CHILD-POSEVNOY-GAZON,S2,https://exp76.ru/posevnoj-gazon-pod-kljuch/,child_service,SERP-6070ECC246E8|SERP-1E2A5B0176EC|SERP-C1723250580F,посевной газон,лучшая посевная установка для газона|лучший посевной газон|посевной газон переславль залесский|посевной газон рыбинск|посевной газон тутаев|посевной газон углич|посевной газон цена|посевной газон цена за м2|посевной газон под ключ г ярославль ул магистральная 7 7,commercial_research|transactional,посевной газон — Эксперты,Посевной газон,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,площадь|подготовка грунта|тип газона|доставка|полив|удаленность объекта,,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/|https://exp76.ru/ustrojstvo-gazona-shema/|https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/|https://exp76.ru/rulonnyj-gazon-pod-kljuch/,https://exp76.ru/category/avtopoliv-na-uchastke/,Q000047|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Посевной газон],publication=blocked_facts;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S6-HUB,S6,https://exp76.ru/services/podpornye-stenki/,hub,SERP-69104D6AA308|HOLD-6179B3D98517|SERP-3CDF6B2A903F|SERP-468BED4A1CF4|SERP-5703FC9B6AB2|SERP-951E1BC7177B|SERP-970C6936F24A,подпорная стенка на участке,армогрунтовые подпорные стены в ярославле|бетонная подпорная стенка на участке|дешевая подпорная стенка на участке|забор подпорная стенка на участке|подпорная стенка из габионов на участке|подпорная стенка на садовом участке|подпорная стенка на сваях на участке|подпорная стенка на участке для парковки|подпорная стенка на участке из бетона|подпорная стенка на участке из блоков|подпорная стенка на участке из камня|подпорная стенка на участке из кирпича|подпорная стенка на участке переславль залесский|подпорная стенка на участке рыбинск|подпорная стенка на участке с уклоном|подпорная стенка на участке тутаев|подпорная стенка на участке углич|подпорная стенка пошехонье|подпорные стенки на участке с уклоном фото|устройство подпорной стенки на участке,commercial_research|transactional,подпорная стенка на участке — Эксперты,Подпорная стенка на участке,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,длина и высота|материал|основание|рельеф|условия отвода воды,,,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,https://exp76.ru/category/drenazh-uchastka/,Q000104,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S7-HUB,S7,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,hub,SERP-6979557B24CA|HOLD-E9DA472745AE|HOLD-F28F0E53D909|SERP-2716C16CFFC8|SERP-D0ED9EC8158D,монтаж освещения участка рыбинск,монтаж освещения участка переславль залесский|монтаж освещения участка тутаев|монтаж освещения участка углич|монтаж освещения участка|устройство освещения участка|уличное освещение частного дома переславль залесский|уличное освещение частного дома тутаев|уличное освещение частного дома углич|уличное освещение частного дома рыбинск|ландшафтное освещение ярославль,transactional|commercial_research,монтаж освещения участка рыбинск — Эксперты,Монтаж освещения участка рыбинск,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,площадь|количество зон|схема прокладки|оборудование|условия подключения,,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,,Q000109,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S4-HUB,S4,https://exp76.ru/services/ukhod-za-sadom/,hub,SERP-6CE4B6AF888B|HOLD-28627278866D|SERP-651B7A994F7E|SERP-7BD020023148|SERP-7DE3AAD9BA6E|SERP-AA3B1ED86F1C,уход за садом,алгоритм ухода за растениями в детском саду|антонов сад уход за клубникой осенью|группа уход за садом|детский сад уход за животные google|дмитриев сад канал уход за голубикой|договор уход за садом|игра детский сад уход за детьми|игры уход за детским садом|инструменты для ухода за садом|календарь ухода за садом|карта ухода за садом|картинка уход за садом|компания уход за садом|комплексный уход за садом|комплект инструмента для ухода за садом greenworks|лучшая книга для ухода за колоновидным садом|набор для сада и ухода за собой|нужен уход за садом|отпуск по уходу за садом|план ухода за садом,commercial_research|transactional,уход за садом — Эксперты,Уход за садом,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,площадь сада|состав работ|состояние растений|сезонность|вывоз растительных остатков,,,https://exp76.ru/obrezka-derevev-shema/|https://exp76.ru/shema-uhoda-za-sadom/|https://exp76.ru/obrezka-derevev-i-kustarnikov/,,Q000078,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S5-HUB,S5,https://exp76.ru/services/planirovka-territorii/,hub,SERP-6DB26688AA57|HOLD-37D2E790086A|HOLD-915B86D6B9ED|SERP-01050EAE1F1F|SERP-0DD3D2B067B4|SERP-28A33A22AC12|SERP-38789FF53DEB|SERP-490CDCE58295|SERP-7CD860AE1E28|SERP-AA8EBFF26F36|SERP-AE4638D982DC,планировка участка,3d планировка участка|3д планировка дома и участка онлайн|3д планировка участка|3д планировка участка онлайн бесплатно|4 сотки планировка участка с домиком|аренда мини трактора для планировки участка|аренда мини трактора для планировки участка в ярославле|аренда планировка участок|аренда трактора для планировки участка|архитектурная планировка земельного участка|архитектурная планировка участка|бесплатная планировка дома на участке|бобкэт планировка участка|большие участки планировка|бульдозер на пульте управления для планировки участка|в какой программе делать планировку участка|в какой программе сделать планировку участка|варианты планировки дачного участка 6 соток|варианты планировки дачных участков|варианты планировки земельного участка,commercial_research|transactional,планировка участка — Эксперты,Планировка участка,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,площадь|перепад высот|объем перемещения грунта|техника|условия подъезда,,,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/|https://exp76.ru/shema-planirovki-uchastka/|https://exp76.ru/vyravnivanie-uchastka/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/osushenie-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/,Q000094|Q000095,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
