map_id,cluster_id,service_id,cluster_name,intent,current_url,target_url,url_action,method,evidence,validation_status,confidence,review_status,reviewer,rationale,destination_id,page_role,parent_destination_id,publication_status
M0011,HOLD-136ED0AAB28A,S4,обрезка деревьев схема — informational,informational,,https://exp76.ru/obrezka-derevev-shema/,article,manual_architecture_review,missing_representative_serp:HOLD-136ED0AAB28A,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S4-ARTICLE-PRUNING-GUIDE,article,S4-HUB,backlog
M0012,HOLD-15A8258BC551,S2,устройство газона схема — informational,informational,,https://exp76.ru/ustrojstvo-gazona-shema/,article,manual_architecture_review,missing_representative_serp:HOLD-15A8258BC551,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S2-ARTICLE-15A8258BC551,article,S2-HUB,backlog
M0013,HOLD-182825428CBD,S2,как укладывать рулонный газон — informational,informational,,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,article,manual_architecture_review,missing_representative_serp:HOLD-182825428CBD,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S2-ARTICLE-182825428CBD,article,S2-HUB,backlog
M0014,HOLD-1D9AC2530460,S3,схема посадки кустарников — informational,informational,,https://exp76.ru/normy-posadki-derevev/,merge,manual_architecture_review,missing_representative_serp:HOLD-1D9AC2530460,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,backlog
M0015,HOLD-208FF2D300B0,S8,купить трубу для заезда через канаву — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-208FF2D300B0,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0016,HOLD-23F8882D4251,S2,рулонный газон под ключ — transactional,transactional,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,merge,manual_architecture_review,missing_representative_serp:HOLD-23F8882D4251,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S2-HUB,hub,,ready
M0017,HOLD-28627278866D,S4,уход за гортензией в саду — commercial_research,commercial_research,,https://exp76.ru/services/ukhod-za-sadom/,merge,manual_architecture_review,missing_representative_serp:HOLD-28627278866D,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S4-HUB,hub,,ready
M0018,HOLD-2BF5D16865EA,S3,купить кустарник для посадки — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-2BF5D16865EA,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0019,HOLD-2F188270E4C3,S8,купить заезд на участок — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-2F188270E4C3,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0020,HOLD-2F1C98E80F71,S8,как сделать заезд на участок — informational,informational,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,merge,manual_architecture_review,missing_representative_serp:HOLD-2F1C98E80F71,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,backlog
M0021,HOLD-32452491B993,S4,как выбрать секатор для обрезки кустарников — informational,informational,,https://exp76.ru/obrezka-derevev-shema/,merge,manual_architecture_review,missing_representative_serp:HOLD-32452491B993,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S4-ARTICLE-PRUNING-GUIDE,article,S4-HUB,backlog
M0022,HOLD-36F4098CF473,S3,купить деревья для посадки — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-36F4098CF473,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0023,HOLD-37D2E790086A,S5,участок сотки планировка — commercial_research,commercial_research,,https://exp76.ru/services/planirovka-territorii/,merge,manual_architecture_review,missing_representative_serp:HOLD-37D2E790086A,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S5-HUB,hub,,ready
M0024,HOLD-38F85CB02478,S2,натуральный рулонный газон — commercial_research,commercial_research,,https://exp76.ru/rulonnyj-gazon-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-38F85CB02478|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],architecture_reviewed,medium,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping.",S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,blocked_facts
M0025,HOLD-40520549FE6A,S1,магазин ландшафтного дизайна рыбинск — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-40520549FE6A,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0026,HOLD-448EB54B315D,S1,рассчитать стоимость благоустройства — transactional,transactional,https://exp76.ru/services/,https://exp76.ru/services/,merge,manual_architecture_review,missing_representative_serp:HOLD-448EB54B315D,architecture_reviewed,medium,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.,SPECIAL-SERVICES-CATALOG,special,,ready
M0027,HOLD-4E5B4B602503,S5,выровнять участок на даче ярославль — commercial_research,commercial_research,,https://exp76.ru/vyravnivanie-uchastka/,merge,manual_architecture_review,missing_representative_serp:HOLD-4E5B4B602503|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/planirovka-territorii.json#intro+services.items[Выравнивание],architecture_reviewed,medium,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping.",S5-CHILD-VYRAVNIVANIE,child_service,S5-HUB,blocked_facts
M0028,HOLD-505521C7EF8C,S1,как рассчитать стоимость благоустройства са сотку — informational,informational,,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/,article,manual_architecture_review,missing_representative_serp:HOLD-505521C7EF8C,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S1-ARTICLE-505521C7EF8C,article,S1-HUB,backlog
M0029,HOLD-544177B45D38,S6,как залить подпорную стенку из бетона — informational,informational,,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,merge,manual_architecture_review,missing_representative_serp:HOLD-544177B45D38,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S6-ARTICLE-DIY-RETAINING-WALL,article,S6-HUB,backlog
M0030,HOLD-5740939AB97F,S7,магазин ландшафтного освещения — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-5740939AB97F,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0031,HOLD-5A855707AEC1,S7,подсветка участка своими руками — informational,informational,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,merge,manual_architecture_review,missing_representative_serp:HOLD-5A855707AEC1,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,backlog
M0032,HOLD-5B52CBB329C4,S8,как сделать въезд на участок — informational,informational,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,merge,manual_architecture_review,missing_representative_serp:HOLD-5B52CBB329C4,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,backlog
M0033,HOLD-6179B3D98517,S6,устройство подпорной стенки на участке — transactional,transactional,,https://exp76.ru/services/podpornye-stenki/,merge,manual_architecture_review,missing_representative_serp:HOLD-6179B3D98517,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S6-HUB,hub,,ready
M0034,HOLD-630573F85F65,S7,ландшафтное освещение светильники — commercial_research,commercial_research,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-630573F85F65|query_form:product_lighting_fixtures,architecture_reviewed,medium,reviewed,codex-2026-08-28,The head query explicitly targets lighting fixtures and has no successful representative SERP; product demand is excluded.,,none,,backlog
M0035,HOLD-69BD3745F445,S8,обустройство въезда на участок через канаву под ключ — transactional,transactional,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-69BD3745F445,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0036,HOLD-6AE9AB011A17,S3,услуги посадки деревьев — transactional,transactional,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,merge,manual_architecture_review,missing_representative_serp:HOLD-6AE9AB011A17,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S3-HUB,hub,,ready
M0037,HOLD-6C8BD897EC93,S8,заезд на участок через канаву — commercial_research,commercial_research,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-6C8BD897EC93,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0038,HOLD-70212404217F,S6,подпорная стенка на участке своими руками — informational,informational,,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,article,manual_architecture_review,missing_representative_serp:HOLD-70212404217F,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S6-ARTICLE-DIY-RETAINING-WALL,article,S6-HUB,backlog
M0039,HOLD-72FBB49E67C8,S1,как рассчитать инженерное благоустройство участка — informational,informational,,https://exp76.ru/kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka/,article,manual_architecture_review,missing_representative_serp:HOLD-72FBB49E67C8,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S1-ARTICLE-72FBB49E67C8,article,S1-HUB,backlog
M0040,HOLD-74B3B2B18DA4,S5,выравнивание участка своими руками — informational,informational,,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/,article,manual_architecture_review,missing_representative_serp:HOLD-74B3B2B18DA4,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S5-ARTICLE-74B3B2B18DA4,article,S5-HUB,backlog
M0041,HOLD-81D00C204EE9,S1,благоустройство частной территории услуги — transactional,transactional,https://exp76.ru/services/,https://exp76.ru/services/,merge,manual_architecture_review,missing_representative_serp:HOLD-81D00C204EE9,architecture_reviewed,medium,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.,SPECIAL-SERVICES-CATALOG,special,,ready
M0042,HOLD-86F8E876B7EA,S8,труба в канаву для заезда на участок — commercial_research,commercial_research,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-86F8E876B7EA,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0043,HOLD-89A4E8CC1C19,S2,цена газона рулонного рыбинск — transactional,transactional,,https://exp76.ru/rulonnyj-gazon-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-89A4E8CC1C19|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],architecture_reviewed,medium,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping.",S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,blocked_facts
M0044,HOLD-915B86D6B9ED,S5,планировка участка стоимость — transactional,transactional,,https://exp76.ru/services/planirovka-territorii/,merge,manual_architecture_review,missing_representative_serp:HOLD-915B86D6B9ED,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S5-HUB,hub,,ready
M0045,HOLD-94EF07DDD02E,S1,благоустройство участка дома проекты — commercial_research,commercial_research,,https://exp76.ru/services/landshaftnoe-proektirovanie/,merge,manual_architecture_review,missing_representative_serp:HOLD-94EF07DDD02E,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S1-HUB,hub,,ready
M0046,HOLD-95F8CF43A6E3,S8,въезд на участок купить — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-95F8CF43A6E3,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0047,HOLD-973F3BFE6409,S2,устройства газон некст — commercial_research,commercial_research,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,merge,manual_architecture_review,missing_representative_serp:HOLD-973F3BFE6409,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S2-HUB,hub,,ready
M0048,HOLD-9CF4ABC55090,S1,дизайн проект участка своими руками — informational,informational,,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,article,manual_architecture_review,missing_representative_serp:HOLD-9CF4ABC55090,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S1-ARTICLE-DIY-DESIGN,article,S1-HUB,backlog
M0049,HOLD-9DDC73BD2CD3,S1,ландшафтный дизайн дачного участка — commercial_research,commercial_research,,https://exp76.ru/services/landshaftnoe-proektirovanie/,merge,manual_architecture_review,missing_representative_serp:HOLD-9DDC73BD2CD3,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S1-HUB,hub,,ready
M0050,HOLD-A31AAE5725CD,S3,нормы посадки деревьев — informational,informational,,https://exp76.ru/normy-posadki-derevev/,article,manual_architecture_review,missing_representative_serp:HOLD-A31AAE5725CD,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,backlog
M0051,HOLD-A73418137528,S5,купить планировку участка — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-A73418137528,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0052,HOLD-ADD9FC08AC1E,S8,труба для заезда на участок — commercial_research,commercial_research,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-ADD9FC08AC1E,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0053,HOLD-AF75D8A25C90,S3,схема посадки хвойных — informational,informational,,https://exp76.ru/normy-posadki-derevev/,merge,manual_architecture_review,missing_representative_serp:HOLD-AF75D8A25C90,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,backlog
M0054,HOLD-B8BA815347B8,S8,цена трубы на заезд на участок — transactional,transactional,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-B8BA815347B8,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0055,HOLD-BE6960839AF7,S7,освещение на участке купить — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-BE6960839AF7,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0056,HOLD-BE8C4D20F9A4,S8,как сделать въезд на участок через канаву — informational,informational,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,article,manual_architecture_review,missing_representative_serp:HOLD-BE8C4D20F9A4,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,backlog
M0057,HOLD-C135773E31D9,S2,сцепное устройство газон — transactional,transactional,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,merge,manual_architecture_review,missing_representative_serp:HOLD-C135773E31D9,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S2-HUB,hub,,ready
M0058,HOLD-C31745B2E9F7,S1,ландшафтный дизайн рыбинск заказать — transactional,transactional,,https://exp76.ru/services/landshaftnoe-proektirovanie/,merge,manual_architecture_review,missing_representative_serp:HOLD-C31745B2E9F7,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S1-HUB,hub,,ready
M0059,HOLD-CA29C3BD9F29,S7,подсветка дорожек своими руками — informational,informational,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,merge,manual_architecture_review,missing_representative_serp:HOLD-CA29C3BD9F29,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,backlog
M0060,HOLD-D5EEA7CA5259,S3,уход деревьями посадки — commercial_research,commercial_research,,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,merge,manual_architecture_review,missing_representative_serp:HOLD-D5EEA7CA5259,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S3-HUB,hub,,ready
M0061,HOLD-E54772AC58A0,S4,обрезка деревьев купить — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-E54772AC58A0,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0062,HOLD-E5DA704779F6,S6,подпорная стенка на участке купить — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-E5DA704779F6,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0063,HOLD-E9DA472745AE,S7,устройство освещения участка — transactional,transactional,,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,merge,manual_architecture_review,missing_representative_serp:HOLD-E9DA472745AE,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S7-HUB,hub,,ready
M0064,HOLD-EB70299AA189,S8,как сделать заезд через канаву — informational,informational,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,merge,manual_architecture_review,missing_representative_serp:HOLD-EB70299AA189,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,backlog
M0065,HOLD-EC53FCBA2C1F,S7,как сделать освещение на участке — informational,informational,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,article,manual_architecture_review,missing_representative_serp:HOLD-EC53FCBA2C1F,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,backlog
M0066,HOLD-F18CA983788E,S8,въезд на участок через канаву — commercial_research,commercial_research,,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,merge,manual_architecture_review,missing_representative_serp:HOLD-F18CA983788E,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S8-HUB,hub,,ready
M0067,HOLD-F28F0E53D909,S7,уличное освещение частного дома тутаев — commercial_research,commercial_research,,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,merge,manual_architecture_review,missing_representative_serp:HOLD-F28F0E53D909,architecture_reviewed,medium,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.,S7-HUB,hub,,ready
M0068,HOLD-F668FF6F6190,S4,схема ухода за садом — informational,informational,,https://exp76.ru/shema-uhoda-za-sadom/,article,manual_architecture_review,missing_representative_serp:HOLD-F668FF6F6190,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S4-ARTICLE-F668FF6F6190,article,S4-HUB,backlog
M0069,HOLD-FD41CABAE854,S1,ландшафтный дизайн участка своими руками — informational,informational,,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,merge,manual_architecture_review,missing_representative_serp:HOLD-FD41CABAE854,architecture_reviewed,medium,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping.",S1-ARTICLE-DIY-DESIGN,article,S1-HUB,backlog
