destination_id,service_id,title,slug,query,parent_hub,parent_hub_url,current_url,target_url,url_action,current_wp_id,current_post_type,target_template,excluded_primary_intents,business_evidence,semantic_evidence,boundary,publication_status
S1-CHILD-SKETCH,S1,Эскизный проект участка,eskiznyj-proekt-uchastka,заказать эскизный проект участка,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/eskiznyj-proekt-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Эскиз и зонирование],raw/expanded-serp/yandex-api-Q000155.jsonl|Q000155,"Эскиз, зонирование и концепция; полный комплект проекта остаётся хабу.",ready
S4-CHILD-TREE-PRUNING,S4,Обрезка деревьев,obrezka-derevev,заказать обрезку деревьев цена,S4-HUB,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/obrezka-derevev/,create,,,newservicepost.php,,business_source:service-v2/ukhod-za-sadom.json#scope[Обрезка деревьев и кустарников],SERP-B592CED7E831|SERP-0D0F2C22B0AB|wordstat:Yaroslavl_oblast=494,Только деревья; кустарники и живая изгородь разведены.,ready
S4-CHILD-SHRUB-PRUNING,S4,Обрезка кустарников и живой изгороди,obrezka-kustarnikov-i-zhivoj-izgorodi,стрижка кустарников и живой изгороди цена,S4-HUB,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/obrezka-kustarnikov-i-zhivoj-izgorodi/,create,,,newservicepost.php,,business_source:service-v2/ukhod-za-sadom.json#scope[Обрезка деревьев и кустарников],SERP-8F99DD3FB843|wordstat:Yaroslavl_oblast=58,Кустарники и изгороди; деревья остаются отдельной услугой.,ready
S4-CHILD-LAWN-CARE,S4,Уход и обслуживание газона,uhod-za-gazonom,услуги по уходу за газоном цена,S4-HUB,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/uhod-za-gazonom/,create,,,newservicepost.php,,business_source:service-v2/ukhod-za-sadom.json#scope[Уход за газоном],raw/expanded-serp/yandex-api-Q000194.jsonl|Q000194|webmaster_query:стрижка и уход за газоном,Регулярный уход; устройство и капитальное восстановление принадлежат S2.,ready
S4-CHILD-FLOWERBEDS,S4,Уход за цветниками и клумбами,uhod-za-cvetnikami-i-klumbami,услуги по уходу за цветниками и клумбами,S4-HUB,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/uhod-za-cvetnikami-i-klumbami/,create,,,newservicepost.php,,"business_source:service-v2/ukhod-za-sadom.json#scope[Цветники, клумбы и декоративные зоны]",raw/expanded-serp/yandex-api-Q000195.jsonl|Q000195,Обслуживание существующих цветников; создание посадок принадлежит S3.,ready
S4-CHILD-PEST,S4,Обработка сада от болезней и вредителей,obrabotka-sada-ot-boleznej-i-vreditelej,обработка сада от болезней и вредителей цена ярославль,S4-HUB,https://exp76.ru/services/ukhod-za-sadom/,,https://exp76.ru/obrabotka-sada-ot-boleznej-i-vreditelej/,create,,,newservicepost.php,,business_source:wp-rest/pages/9357#content[обработки-от-вредителей-и-возбудителей-болезней],raw/expanded-serp-finalization/yandex-api-Q000273.jsonl|Q000273,"Только диагностика и обработка растений; клещи, комары и санитарная обработка территории исключаются.",ready
S5-CHILD-LEVEL,S5,Выравнивание участка,vyravnivanie-uchastka,выравнивание участка цена,S5-HUB,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/vyravnivanie-uchastka/,create,,,newservicepost.php,,business_source:service-v2/planirovka-territorii.json#scope[Выравнивание и формирование поверхностей],SERP-13FD00FC92C7|SERP-3AF29E33EBAC|wordstat:Yaroslavl_oblast=251,Результат — ровная поверхность; специальные технологии и назначения разведены.,ready
S5-CHILD-VERTICAL,S5,Вертикальная планировка и формирование уклонов,vertikalnaya-planirovka-uchastka,вертикальная планировка участка цена,S5-HUB,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/vertikalnaya-planirovka-uchastka/,create,,,newservicepost.php,,business_source:service-v2/planirovka-territorii.json#intro[рельеф и направление воды],wordstat:Yaroslavl_oblast=4|Q000080,Физическое формирование отметок; проект рельефа принадлежит S1.,ready
S5-CHILD-MACHINERY,S5,Планировка участка спецтехникой,planirovka-uchastka-spectehnikoj,планировка участка трактором цена ярославль,S5-HUB,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/planirovka-uchastka-spectehnikoj/,create,,,newservicepost.php,,business_source:wp-rest/pages/10345+9533+9415+8640+8613#completed-planning|media:planirovka_territorii2.webp+planirovka_territorii6.webp,raw/expanded-serp/yandex-api-Q000204.jsonl|Q000204|wordstat:Yaroslavl_oblast[планировка участка трактором]=6,Работы техникой с оператором и измеримым результатом; аренда техники без работ исключается.,ready
S5-CHILD-FILL,S5,Отсыпка и подъём участка грунтом,otsypka-i-podem-uchastka,отсыпка и подъем участка грунтом цена,S5-HUB,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/otsypka-i-podem-uchastka/,create,,,newservicepost.php,,business_source:service-v2/planirovka-territorii.json#pricing[добавить или вывезти грунт],SERP-490CDCE58295|wordstat:Yaroslavl_oblast=7,Добавление материала и изменение отметок; продажа грунта исключается.,ready
S5-CHILD-CULTIVATION,S5,Культивация участка,kultivaciya-uchastka,культивация участка цена за сотку ярославль,S5-HUB,https://exp76.ru/services/planirovka-territorii/,,https://exp76.ru/kultivaciya-uchastka/,create,,,newservicepost.php,,business_source:wp-rest/pages/8636#content[культивирование-земли+планировка],raw/expanded-serp-finalization/yandex-api-Q000274.jsonl|Q000274,"Отдельная механическая обработка земли; планировка рельефа, посев и устройство газона не входят.",ready
S6-CHILD-CONCRETE,S6,Бетонные подпорные стенки,betonnaya-podpornaya-stenka,устройство бетонной подпорной стенки,S6-HUB,https://exp76.ru/services/podpornye-stenki/,,https://exp76.ru/betonnaya-podpornaya-stenka/,create,,,newservicepost.php,,business_source:service-v2/podpornye-stenki.json#scope[Бетонные конструкции],SERP-3CDF6B2A903F|wordstat:Yaroslavl_oblast=6,Монолитный бетон; блоки и декоративная кладка разведены.,ready
S6-CHILD-STONE,S6,Подпорные стенки из камня и кирпича,podpornaya-stenka-iz-kamnya-i-kirpicha,строительство подпорной стенки из камня или кирпича ярославль,S6-HUB,https://exp76.ru/services/podpornye-stenki/,,https://exp76.ru/podpornaya-stenka-iz-kamnya-i-kirpicha/,create,,,newservicepost.php,,business_source:wp-rest/pages/676#content[камень+кирпич],raw/expanded-serp/yandex-api-Q000215.jsonl|Q000215|raw/expanded-serp-targeted/yandex-api-Q000256.jsonl|Q000256|raw/expanded-serp/yandex-api-Q000217.jsonl|Q000217|raw/expanded-serp-targeted/yandex-api-Q000258.jsonl|Q000258,Каменная и кирпичная кладка объединены; монолитный бетон и сборные ЖБ-блоки остаются отдельными технологиями.,ready
S6-CHILD-WOOD,S6,Деревянные подпорные стенки,podpornaya-stenka-iz-dereva,деревянная подпорная стенка цена работы ярославль,S6-HUB,https://exp76.ru/services/podpornye-stenki/,,https://exp76.ru/podpornaya-stenka-iz-dereva/,create,,,newservicepost.php,,business_source:wp-rest/pages/676#content[услуги-из-любых-материалов+дерево],raw/expanded-serp-finalization/yandex-api-Q000276.jsonl|Q000276|raw/reviewed-suggest-v6/yandex-suggest-YS000559.jsonl|YS000559,Только невысокие деревянные или бревенчатые конструкции после оценки применимости; заборы и декоративные ограждения исключаются.,ready
S7-CHILD-DESIGN,S7,Проект освещения участка,proekt-osveshcheniya-uchastka,проектирование освещения участка цена,S7-HUB,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,https://exp76.ru/proekt-osveshcheniya-uchastka/,create,,,newservicepost.php,,business_source:service-v2/ulichnoe-osveshhenie-uchastka.json#process[проектирование],wordstat:Yaroslavl_oblast=2,Схема и проект; физический монтаж остаётся соседней услуге.,ready
S7-CHILD-INSTALL,S7,Монтаж уличного освещения участка,montazh-osveshcheniya-uchastka,монтаж уличного освещения участка цена,S7-HUB,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,https://exp76.ru/montazh-osveshcheniya-uchastka/,create,,,newservicepost.php,,business_source:service-v2/ulichnoe-osveshhenie-uchastka.json#process[монтаж],SERP-6979557B24CA|wordstat:Yaroslavl_oblast[устройство]=8,Комплексный монтаж; отдельные сценарии света разведены.,ready
S7-CHILD-LANDSCAPE,S7,Ландшафтное и декоративное освещение сада,landshaftnoe-osveshchenie-uchastka,монтаж ландшафтного освещения участка,S7-HUB,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,https://exp76.ru/landshaftnoe-osveshchenie-uchastka/,create,,,newservicepost.php,,business_source:service-v2/ulichnoe-osveshhenie-uchastka.json#scope[Декоративный свет в саду],SERP-D0ED9EC8158D|wordstat:Yaroslavl_oblast=23,Сад и композиция; архитектурная подсветка дома разведена.,ready
S7-CHILD-ARCHITECTURAL,S7,Архитектурная подсветка частного дома,arhitekturnaya-podsvetka-doma,монтаж архитектурной подсветки частного дома,S7-HUB,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,,https://exp76.ru/arhitekturnaya-podsvetka-doma/,create,,,newservicepost.php,,business_source:service-v2/ulichnoe-osveshhenie-uchastka.json#scope[Архитектурная подсветка],raw/expanded-serp/yandex-api-Q000227.jsonl|Q000227|raw/expanded-serp-targeted/yandex-api-Q000262.jsonl|Q000262,Фасад и архитектура дома; садовое освещение остаётся S7-LANDSCAPE.,ready
S7-CHILD-HOLIDAY,S7,Новогоднее освещение загородного дома,novogodnee-osveshhenie-zagorodnogo-doma-v-rybinske-i-jaroslavskojj-oblasti,монтаж новогоднего освещения дома ярославль,S7-HUB,https://exp76.ru/services/ulichnoe-osveshhenie-uchastka/,https://exp76.ru/novogodnee-osveshhenie-zagorodnogo-doma-v-rybinske-i-jaroslavskojj-oblasti/,https://exp76.ru/novogodnee-osveshhenie-zagorodnogo-doma-v-rybinske-i-jaroslavskojj-oblasti/,reuse,10381,page,servicepost.php,постоянное фасадное освещение|ландшафтное освещение,business_source:wp-rest/pages/10381#published-service,raw/expanded-serp-alternatives/yandex-api-Q000272.jsonl|Q000272,Сезонный монтаж праздничной подсветки; постоянное фасадное освещение принадлежит S7-ARCHITECTURAL.,ready
S8-CHILD-PIPE,S8,Укладка водопропускной трубы в канаву,truba-v-kanavu-dlya-zaezda,установка водопропускной трубы в канаву для въезда,S8-HUB,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,,https://exp76.ru/truba-v-kanavu-dlya-zaezda/,create,,,newservicepost.php,,business_source:service-v2/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch.json#scope[Водопропускная часть],SERP-854ADA9B5F75|Q000140|wordstat:Yaroslavl_oblast=25,Установка трубы с сохранением стока; продажа трубы исключается.,ready
S8-CHILD-GRAVEL,S8,Щебёночный въезд на участок,shchebenochnyy-vezd-na-uchastok,отсыпка въезда на участок щебнем цена,S8-HUB,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,,https://exp76.ru/shchebenochnyy-vezd-na-uchastok/,create,,,newservicepost.php,,business_source:service-v2/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch.json#scope[Щебёночный вариант],wordstat:Yaroslavl_oblast[щебень для заезда]=5,Щебёночное исполнение; бетонный вариант разведён.,ready
S8-CHILD-CONCRETE,S8,Бетонный въезд через канаву,betonnyy-vezd-cherez-kanavu,устройство бетонного въезда через канаву,S8-HUB,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,,https://exp76.ru/betonnyy-vezd-cherez-kanavu/,create,,,newservicepost.php,,business_source:service-v2/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch.json#scope[Бетонный вариант],wordstat:Yaroslavl_oblast=1,Бетонная конструкция; мощение остаётся у защищённого владельца.,ready
S8-CHILD-PARKING,S8,Въезд через канаву с парковочной площадкой,vezd-cherez-kanavu-s-parkovochnoj-ploshchadkoj,въезд на участок с парковочной площадкой под ключ ярославль,S8-HUB,https://exp76.ru/services/vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch/,,https://exp76.ru/vezd-cherez-kanavu-s-parkovochnoj-ploshchadkoj/,create,,,newservicepost.php,,business_source:wp-rest/pages/9282#content[въездная-площадка+площадка-для-автомобиля],raw/expanded-serp-finalization/yandex-api-Q000280.jsonl|Q000280|raw/serp/yandex-api-Q000129.jsonl|Q000129|raw/serp/yandex-api-Q000131.jsonl|Q000131,"Только переход через канаву с площадкой непосредственно за ним; отдельная парковка, плитка и мощение принадлежат защищённому владельцу.",ready
S9-CHILD-TREE-REMOVAL,S9,Спил и удаление деревьев,spil-i-udalenie-derevev,спил деревьев ярославль,S9-HUB,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/spil-i-udalenie-derevev/,create,,,newservicepost.php,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,business_source:wp-rest/pages/6870#content[spil-derevev],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S9-CHILD-TREE-REMOVAL;verified=2026-08-29,"Включено: спил и удаление дерева целиком или по частям. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",ready
S9-CHILD-STUMPS,S9,Корчевание пней,korchevanie-pnej,корчевание пней ярославль,S9-HUB,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/korchevanie-pnej/,create,,,newservicepost.php,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,business_source:wp-rest/pages/6870#content[vykorchevyvanie-pnej],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S9-CHILD-STUMPS;verified=2026-08-29,"Включено: корчевание и удаление пней. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",ready
S9-CHILD-CLEARING,S9,Расчистка участка от деревьев и кустарников,raschistka-uchastka-ot-derevev-i-kustarnikov,расчистка участка от деревьев и кустарников ярославль,S9-HUB,https://exp76.ru/services/vykorchevyvanie-pnejj-spil-derevev/,,https://exp76.ru/raschistka-uchastka-ot-derevev-i-kustarnikov/,create,,,newservicepost.php,обрезка деревьев|обрезка кустарников|выравнивание и планировка участка|неподтверждённые вывоз и утилизация|аренда спецтехники без работ,business_source:wp-rest/pages/6870#content[spil-derevev-i-kustarnikov+vykorchevyvanie-pnej],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S9-CHILD-CLEARING;verified=2026-08-29,"Включено: расчистка древесной и кустарниковой растительности. Исключённые основные интенты: обрезка деревьев, обрезка кустарников, выравнивание и планировка участка, неподтверждённые вывоз и утилизация, аренда спецтехники без работ.",ready
S10-CHILD-DECORATIVE-POND,S10,Декоративный пруд на участке,dekorativnyj-prud-na-uchastke,декоративный пруд под ключ ярославль,S10-HUB,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/dekorativnyj-prud-na-uchastke/,create,,,newservicepost.php,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,business_source:wp-rest/pages/6900#content[prudy-i-ozera],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S10-CHILD-DECORATIVE-POND;verified=2026-08-29,"Включено: создание декоративного водоёма на частном участке. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",ready
S10-CHILD-SWIMMING-POND,S10,Плавательный пруд,plavatelnyj-prud-na-uchastke,плавательный пруд на участке ярославль,S10-HUB,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/plavatelnyj-prud-na-uchastke/,create,,,newservicepost.php,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,business_source:wp-rest/pages/6900#content[bassejny+prudy+filtracija],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S10-CHILD-SWIMMING-POND;verified=2026-08-29,"Включено: создание купального пруда с фильтрацией. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",ready
S10-CHILD-WATERFALL-CASCADE,S10,Водопад и каскад на участке,vodopad-i-kaskad-na-uchastke,искусственный водопад на участке ярославль,S10-HUB,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/vodopad-i-kaskad-na-uchastke/,create,,,newservicepost.php,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,business_source:wp-rest/pages/6900#content[vodopady],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S10-CHILD-WATERFALL-CASCADE;verified=2026-08-29,"Включено: искусственный водопад или каскад как частный ландшафтный объект. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",ready
S10-CHILD-STREAM,S10,Декоративный ручей,dekorativnyj-ruchej-na-uchastke,декоративный ручей на участке ярославль,S10-HUB,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/dekorativnyj-ruchej-na-uchastke/,create,,,newservicepost.php,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,business_source:wp-rest/pages/6900#content[ruchji],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S10-CHILD-STREAM;verified=2026-08-29,"Включено: создание искусственного декоративного ручья. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",ready
S10-CHILD-FOUNTAIN,S10,Фонтан на участке,fontan-na-uchastke,фонтан под ключ на участке ярославль,S10-HUB,https://exp76.ru/services/sozdanie-ujutnogo-ugolka-s-pomoshhju-vodopada-vodoema-ili-ruchev/,,https://exp76.ru/fontan-na-uchastke/,create,,,newservicepost.php,дренаж участка|ливневая канализация|автополив|очистка существующих запущенных прудов|строительство капитальных бассейнов|инженерные городские фонтаны,business_source:wp-rest/pages/6900#content[fontany],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S10-CHILD-FOUNTAIN;verified=2026-08-29,"Включено: создание частного ландшафтного фонтана. Исключённые основные интенты: дренаж участка, ливневая канализация, автополив, очистка существующих запущенных прудов, строительство капитальных бассейнов, инженерные городские фонтаны.",ready
S11-CHILD-TERRACE-VERANDA,S11,Туманообразование для террасы и веранды,tumanoobrazovanie-dlya-terrasy-i-verandy,система туманообразования для террасы ярославль,S11-HUB,https://exp76.ru/services/sistemy-tumanoobrazovaniya/,,https://exp76.ru/tumanoobrazovanie-dlya-terrasy-i-verandy/,create,,,newservicepost.php,автополив|внутреннее промышленное увлажнение|гарантированный агрономический результат|гарантированное снижение температуры на 15 градусов,business_source:wp-rest/pages/6922#content[chastnye-territorii+otkrytye-ploshhadki],yandex_suggest:seo-data/2026-08-exp76-services/processed/legacy_suggestion_candidates_v2.csv#destination_id=S11-CHILD-TERRACE-VERANDA;verified=2026-08-29,"Включено: монтаж туманообразования в частной открытой зоне отдыха. Исключённые основные интенты: автополив, внутреннее промышленное увлажнение, гарантированный агрономический результат, гарантированное снижение температуры на 15 градусов.",ready
