query_id,seed,service_id,destination_id,page_role,region_id,reason
YS001052,кладка отопительной печи ярославль,S14,S14-CHILD-HEATING-STOVE,child_service,10841,legacy_suggest_transactional[S14-CHILD-HEATING-STOVE]
YS001053,барбекю-комплекс под ключ,S14,S14-CHILD-BARBECUE,child_service,10841,legacy_suggest_root[S14-CHILD-BARBECUE]
YS001054,барбекю комплекс под ключ ярославль,S14,S14-CHILD-BARBECUE,child_service,10841,legacy_suggest_transactional[S14-CHILD-BARBECUE]
YS001055,кирпичный мангал,S14,S14-CHILD-BRICK-GRILL,child_service,10841,legacy_suggest_root[S14-CHILD-BRICK-GRILL]
YS001056,кладка кирпичного мангала ярославль,S14,S14-CHILD-BRICK-GRILL,child_service,10841,legacy_suggest_transactional[S14-CHILD-BRICK-GRILL]
YS001057,печь с казаном и коптильней,S14,S14-CHILD-CAULDRON-SMOKEHOUSE,child_service,10841,legacy_suggest_root[S14-CHILD-CAULDRON-SMOKEHOUSE]
YS001058,печь с казаном и коптильней ярославль,S14,S14-CHILD-CAULDRON-SMOKEHOUSE,child_service,10841,legacy_suggest_transactional[S14-CHILD-CAULDRON-SMOKEHOUSE]
YS001059,снос и демонтаж,S15,S15-HUB,hub,10841,legacy_suggest_root[S15-HUB]
YS001060,снос и демонтаж зданий ярославль,S15,S15-HUB,hub,10841,legacy_suggest_transactional[S15-HUB]
YS001061,снос частного дома,S15,S15-CHILD-PRIVATE-HOUSE,child_service,10841,legacy_suggest_root[S15-CHILD-PRIVATE-HOUSE]
YS001062,снос частного дома ярославль цена,S15,S15-CHILD-PRIVATE-HOUSE,child_service,10841,legacy_suggest_transactional[S15-CHILD-PRIVATE-HOUSE]
YS001063,демонтаж дачного дома и строений,S15,S15-CHILD-COUNTRY-HOUSE,child_service,10841,legacy_suggest_root[S15-CHILD-COUNTRY-HOUSE]
YS001064,демонтаж дачного дома с вывозом ярославль,S15,S15-CHILD-COUNTRY-HOUSE,child_service,10841,legacy_suggest_transactional[S15-CHILD-COUNTRY-HOUSE]
YS001065,демонтаж аварийных зданий,S15,S15-CHILD-DANGEROUS-BUILDING,child_service,10841,legacy_suggest_root[S15-CHILD-DANGEROUS-BUILDING]
YS001066,снос аварийных зданий ярославль,S15,S15-CHILD-DANGEROUS-BUILDING,child_service,10841,legacy_suggest_transactional[S15-CHILD-DANGEROUS-BUILDING]
YS001067,ручная разборка зданий,S15,S15-CHILD-MANUAL,child_service,10841,legacy_suggest_root[S15-CHILD-MANUAL]
YS001068,ручная разборка зданий ярославль,S15,S15-CHILD-MANUAL,child_service,10841,legacy_suggest_transactional[S15-CHILD-MANUAL]
YS001069,механизированный снос зданий,S15,S15-CHILD-MECHANIZED,child_service,10841,legacy_suggest_root[S15-CHILD-MECHANIZED]
YS001070,механизированный снос зданий ярославль,S15,S15-CHILD-MECHANIZED,child_service,10841,legacy_suggest_transactional[S15-CHILD-MECHANIZED]
YS001071,вывоз строительного мусора после сноса,S15,S15-CHILD-DEBRIS,child_service,10841,legacy_suggest_root[S15-CHILD-DEBRIS]
YS001072,вывоз строительного мусора после сноса ярославль,S15,S15-CHILD-DEBRIS,child_service,10841,legacy_suggest_transactional[S15-CHILD-DEBRIS]
