cluster_id,service_id,destination_id,page_role,parent_destination_id,current_url,proposed_url,proposed_slug,url_action,publication_status,business_offer_confirmed,evidence_refs,review_status,reviewer,rationale
HOLD-69BD3745F445,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-69BD3745F445,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-6AE9AB011A17,S3,S3-HUB,hub,,,,posadka-derevev-i-kustarnikov,merge,ready,yes,missing_representative_serp:HOLD-6AE9AB011A17,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-6C8BD897EC93,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-6C8BD897EC93,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-70212404217F,S6,S6-ARTICLE-DIY-RETAINING-WALL,article,S6-HUB,,https://exp76.ru/podpornaya-stenka-na-uchastke-svoimi-rukami/,podpornaya-stenka-na-uchastke-svoimi-rukami,article,backlog,no,missing_representative_serp:HOLD-70212404217F,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-72FBB49E67C8,S1,S1-ARTICLE-72FBB49E67C8,article,S1-HUB,,https://exp76.ru/kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka/,kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka,article,backlog,no,missing_representative_serp:HOLD-72FBB49E67C8,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-74B3B2B18DA4,S5,S5-ARTICLE-74B3B2B18DA4,article,S5-HUB,,https://exp76.ru/vyravnivanie-uchastka-svoimi-rukami/,vyravnivanie-uchastka-svoimi-rukami,article,backlog,no,missing_representative_serp:HOLD-74B3B2B18DA4,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-81D00C204EE9,S1,SPECIAL-SERVICES-CATALOG,special,,https://exp76.ru/services/,,services,merge,ready,yes,missing_representative_serp:HOLD-81D00C204EE9,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
HOLD-86F8E876B7EA,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-86F8E876B7EA,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-89A4E8CC1C19,S2,S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,,,rulonnyj-gazon-pod-kljuch,merge,blocked_facts,yes,missing_representative_serp:HOLD-89A4E8CC1C19|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
HOLD-915B86D6B9ED,S5,S5-HUB,hub,,,,planirovka-territorii,merge,ready,yes,missing_representative_serp:HOLD-915B86D6B9ED,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-94EF07DDD02E,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,missing_representative_serp:HOLD-94EF07DDD02E,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-95F8CF43A6E3,S8,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-95F8CF43A6E3,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-973F3BFE6409,S2,S2-HUB,hub,,,,gazon-posevnojj-i-gazon-rulonnyjj,merge,ready,yes,missing_representative_serp:HOLD-973F3BFE6409,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-9CF4ABC55090,S1,S1-ARTICLE-DIY-DESIGN,article,S1-HUB,,https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,dizajn-proekt-uchastka-svoimi-rukami,article,backlog,no,missing_representative_serp:HOLD-9CF4ABC55090,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-9DDC73BD2CD3,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,missing_representative_serp:HOLD-9DDC73BD2CD3,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-A31AAE5725CD,S3,S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,,https://exp76.ru/normy-posadki-derevev/,normy-posadki-derevev,article,backlog,no,missing_representative_serp:HOLD-A31AAE5725CD,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-A73418137528,S5,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-A73418137528,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-ADD9FC08AC1E,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-ADD9FC08AC1E,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-AF75D8A25C90,S3,S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,,,normy-posadki-derevev,merge,backlog,no,missing_representative_serp:HOLD-AF75D8A25C90,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-B8BA815347B8,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-B8BA815347B8,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-BE6960839AF7,S7,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-BE6960839AF7,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-BE8C4D20F9A4,S8,S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,,https://exp76.ru/kak-sdelat-vezd-na-uchastok-cherez-kanavu/,kak-sdelat-vezd-na-uchastok-cherez-kanavu,article,backlog,no,missing_representative_serp:HOLD-BE8C4D20F9A4,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-C135773E31D9,S2,S2-HUB,hub,,,,gazon-posevnojj-i-gazon-rulonnyjj,merge,ready,yes,missing_representative_serp:HOLD-C135773E31D9,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-C31745B2E9F7,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,missing_representative_serp:HOLD-C31745B2E9F7,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-CA29C3BD9F29,S7,S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,,,kak-sdelat-osveschenie-na-uchastke,merge,backlog,no,missing_representative_serp:HOLD-CA29C3BD9F29,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-D5EEA7CA5259,S3,S3-HUB,hub,,,,posadka-derevev-i-kustarnikov,merge,ready,yes,missing_representative_serp:HOLD-D5EEA7CA5259,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-E54772AC58A0,S4,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-E54772AC58A0,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-E5DA704779F6,S6,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-E5DA704779F6,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-E9DA472745AE,S7,S7-HUB,hub,,,,ulichnoe-osveshhenie-uchastka,merge,ready,yes,missing_representative_serp:HOLD-E9DA472745AE,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-EB70299AA189,S8,S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,,,kak-sdelat-vezd-na-uchastok-cherez-kanavu,merge,backlog,no,missing_representative_serp:HOLD-EB70299AA189,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-EC53FCBA2C1F,S7,S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,,https://exp76.ru/kak-sdelat-osveschenie-na-uchastke/,kak-sdelat-osveschenie-na-uchastke,article,backlog,no,missing_representative_serp:HOLD-EC53FCBA2C1F,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-F18CA983788E,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,missing_representative_serp:HOLD-F18CA983788E,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-F28F0E53D909,S7,S7-HUB,hub,,,,ulichnoe-osveshhenie-uchastka,merge,ready,yes,missing_representative_serp:HOLD-F28F0E53D909,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-F668FF6F6190,S4,S4-ARTICLE-F668FF6F6190,article,S4-HUB,,https://exp76.ru/shema-uhoda-za-sadom/,shema-uhoda-za-sadom,article,backlog,no,missing_representative_serp:HOLD-F668FF6F6190,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-FD41CABAE854,S1,S1-ARTICLE-DIY-DESIGN,article,S1-HUB,,,dizajn-proekt-uchastka-svoimi-rukami,merge,backlog,no,missing_representative_serp:HOLD-FD41CABAE854,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-FF3B04A53D72,S5,S5-ARTICLE-FF3B04A53D72,article,S5-HUB,,https://exp76.ru/shema-planirovki-uchastka/,shema-planirovki-uchastka,article,backlog,no,missing_representative_serp:HOLD-FF3B04A53D72,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
SERP-01050EAE1F1F,S5,S5-HUB,hub,,,,planirovka-territorii,merge,ready,yes,Q000097,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-02C1679FE41B,S3,S3-HUB,hub,,,,posadka-derevev-i-kustarnikov,merge,ready,yes,Q000062,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-040A03E7E8F3,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,Q000121,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-06251F551165,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,Q000028,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-0767F40D1ED4,S2,S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,,,rulonnyj-gazon-pod-kljuch,merge,blocked_facts,yes,Q000056|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
SERP-09010110F02E,S3,S3-CHILD-KRUPNOMERY,child_service,S3-HUB,,https://exp76.ru/posadka-krupnomerov/,posadka-krupnomerov,child,blocked_facts,no,Q000064,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact business offer is not confirmed by current source material, and Task 3 case/photo mapping is incomplete; publication is blocked on those facts."
SERP-0A583602ED79,S2,,none,,,,,exclude,backlog,no,Q000051,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
SERP-0D0F2C22B0AB,S4,S4-CHILD-OBREZKA,child_service,S4-HUB,,,obrezka-derevev-i-kustarnikov,merge,blocked_facts,yes,Q000069|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/ukhod-za-sadom.json#seo.description+services.items[Обрезка],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
SERP-0DD3D2B067B4,S5,S5-HUB,hub,,,,planirovka-territorii,merge,ready,yes,missing_representative_serp:SERP-0DD3D2B067B4,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-0FA0C101C6DD,S1,SPECIAL-SERVICES-CATALOG,special,,https://exp76.ru/services/,,services,merge,ready,yes,Q000027,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
SERP-10BA4FC77863,S7,,none,,,,,exclude,backlog,no,Q000113,reviewed,codex-2026-08-28,"Stored SERP is dominated by municipal complaints, rules and repairs rather than private-site installation."
SERP-125679FE4BFA,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,Q000029,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-13FD00FC92C7,S5,S5-CHILD-VYRAVNIVANIE,child_service,S5-HUB,,https://exp76.ru/vyravnivanie-uchastka/,vyravnivanie-uchastka,child,blocked_facts,yes,Q000081|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/planirovka-territorii.json#intro+services.items[Выравнивание],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
SERP-151040020C7C,S2,S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,,,rulonnyj-gazon-pod-kljuch,merge,blocked_facts,yes,Q000044|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
SERP-18995A41CDF6,S1,S1-HUB,hub,,,,landshaftnoe-proektirovanie,merge,ready,yes,Q000024,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-1E2A5B0176EC,S2,S2-CHILD-POSEVNOY-GAZON,child_service,S2-HUB,,,posevnoj-gazon-pod-kljuch,merge,blocked_facts,yes,Q000049|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Посевной газон],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
SERP-204FB8F3D895,S2,,none,,,,,exclude,backlog,no,missing_representative_serp:SERP-204FB8F3D895,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
SERP-222F43C27897,S5,,none,,,,,exclude,backlog,no,missing_representative_serp:SERP-222F43C27897,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
SERP-2716C16CFFC8,S7,S7-HUB,hub,,,,ulichnoe-osveshhenie-uchastka,merge,ready,yes,Q000114,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-28A33A22AC12,S5,S5-HUB,hub,,,,planirovka-territorii,merge,ready,yes,Q000096,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
SERP-28E8746F1C7F,S8,S8-HUB,hub,,,,vezd-zaezd-na-uchastok-cherez-kanavu-pod-kljuch,merge,ready,yes,Q000137,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
